district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Narayanpet,Utkoor,Utkoor,M/s Sri Venkateswara Industries,Rice mill (Rice hullers only),Food Processing,0.95,10,22/06/2022,03/07/2022,Yet to Start Construction,Yes,OBC
Narayanpet,Narayanpet,Jalalpur,M/S CAP AGRO INDUSTRIES,Rice mill (Rice hullers only),Food Processing,1.9,10,15/06/2022,03/07/2022,Yet to Start Construction,Yes,SC
Medchal,Qutubullapur,Jeedimetla,SRI KARTHIKEYA TRADERS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.2444,6,22/06/2022,03/07/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Maheswaram,Mankhal,M/s. VESSELLA CONCRETE,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.14,15,22/06/2022,03/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,SAI TANVI POLYMERS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.15,5,22/06/2022,03/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,SV ECO INDUSTRIES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,3.2544,10,23/01/2022,02/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,Sri Venkateshwara Plastic Industries,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,2.034,15,09/07/2020,02/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Gajularamaram,KST PHARMACUTICALS PRIVATE LIMITED,Pharmaceuticals,Pharmaceuticals and Chemicals,0.3,15,20/05/2022,02/07/2022,Yet to Start Construction,Yes,General
Sircilla,Thangallapalli,Sarampalli,SRI UMA MAHESHWARA RICE MILL & FEEDS INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.52,12,24/06/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Kadthal,CHERIKONDA(P.KURTY),SRI SAI DHEERAJ RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.2,10,06/05/2022,02/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Gangadhara,Burgupalle,M/s. SRI VENKATESHWARA WELDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,4,23/06/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Siddipet,Gajwel,Gajwel,LAKSHMI INDUSTRIES,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.24,10,22/06/2022,02/07/2022,YET TO START CONSTRUCTION,Yes,General
Mahabubabad,Nellikudur,Munigalaveedu,M/s. SRINIVASA GRANITES,Granite / Stone Cutting and Polishing,Others,0.565,5,23/06/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Nandigaon,Swan Environmental Pvt Ltd,Scientific and mathematical instrument manufacturing,Others,6.2084,29,12/03/2019,02/07/2022,Yet to Start Construction,Yes,General
Hanumakonda,Khaazipet,Rampur,M/s HARDIK SAI CERAMICS,"Glass , ceramic, earthen potteries, tile and tile manufacturing using electrical kiln or not Involving fossil fuel kiln",Granite and Stone Crushing,1.1647,4,26/05/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Siddipet,Doultabad,Rayapole,LPG STORAGE GODOWN,Fire crackers manufacturing and bulk storage facilities,Pharmaceuticals and Chemicals,0.23,5,23/06/2022,02/07/2022,YET TO START CONSTRUCTION,Yes,OBC
Siddipet,Wargal,Wargal,SRI VANA DURGA SPUN PIPE INDUSTRY,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,5,20/06/2022,02/07/2022,YET TO START CONSTRUCTION,Yes,OBC
Medchal,Dundigal Gandimaisamma,Doolapally,M/S. HIENFATECH CLADS PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,23/06/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Rekurthi,M/S. VAMSHI COLD PRESSED OIL,Vegetable oil manufacturing solvent extraction and refinery /hydrogenated oils,Food Processing,0.05,2,01/06/2022,02/07/2022,Yet to Start Construction,Yes,OBC
Bhadradri Kothagudem,Burgampahad,Sarapaka,ITC LIMITED PSPD,"Pulp & Paper ( Large-Agro + wood) , Small Pulp &Paper ( agro based-wheatstraw/rice husk)",Paper and Printing,950.0,1,27/05/2022,01/07/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Balanagar,Mothighanapur,K.SRINIVAS REDDY&OTHERS,Lead acid batterymanufacturing(excluding assembling and charging of lead- acid battery in micro scale)',Pharmaceuticals and Chemicals,0.67,5,19/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,PRANAVA ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.4295,8,16/05/2022,01/07/2022,Yet to Start Construction,Yes,General
Medchal,Medchal,Gundlapochampally,Buildmate Projects Pvt Ltd,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.01,4,28/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,M/S.CHARMINAR STEEL INDUSTRIES,Basic chemicals and electrochemicals and its derivativesincluding manufacturing of acid,Pharmaceuticals and Chemicals,1.287,10,14/06/2022,01/07/2022,Yet to Start Construction,Yes,SC
Medchal,Ghatkesar,Cherlapally,EGEE PALLET PRIVATE LIMITED,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.5,20,01/07/2022,01/07/2022,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Sivanagar,"M/s Hanuman Rock Sand.,",Stone crushers,Granite and Stone Crushing,3.0,1,10/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,S. V . ENGINEERING,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.65,8,16/04/2022,01/07/2022,Yet to Start Construction,Yes,OBC
Hanumakonda,Khaazipet,Madikonda,M/s HARITHA TEXTILES,Power looms (without dye and bleaching),Textiles,1.4639,6,09/06/2022,01/07/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Shankarapatnam,Kalvala,M/S. SREE VENKATESHWARA EXPORTS,Granite / Stone Cutting and Polishing,Others,0.25,20,29/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Khazipur,KAMDHENU INDUSTRIES,Granite / Stone Cutting and Polishing,Others,0.245,8,28/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Kamareddy,Pitlam,Godamgaon,M/S SIDDI VINAYAKA STONE CRUSHER,Stone crushers,Granite and Stone Crushing,0.25,10,28/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,SUDHA ENGINEERING WORKS (UNIT-II),Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,7,23/06/2022,01/07/2022,Yet to Start Construction,Yes,OBC
Medchal,Dundigal Gandimaisamma,Doolapally,M/S. SHREE SURYA P. V. C PRODUCTS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,4,22/06/2022,01/07/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,"M/s Shrishti Electricals Pvt Ltd., Unit-II",Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,2.0,50,22/07/2021,31/08/2021,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Patancheru,SURYA PROFILES & EQUIPMENTS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.5,15,09/08/2021,31/08/2021,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,MANIKANTA ENGINEERING WORKS UNIT-II,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.21,6,22/08/2021,31/08/2021,Yet to Start Construction,Yes,General
Medchal,Balanagar,Balanagar,SHREE HARI LAXMI COATING,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,9,19/08/2021,31/08/2021,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,NATIONAL ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,20,24/08/2021,30/08/2021,Yet to Start Construction,Yes,OBC
Medchal,Kukatpally,Kukatpally,H & H PLASTO FORM,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,20,27/08/2021,30/08/2021,Yet to Start Construction,Yes,General
Mancherial,Jaipur,Indaram,M/s MANJUNATHA AGRO INDUSTRY,Rice mill (Rice hullers only),Food Processing,1.3274,10,16/01/2021,30/08/2021,Yet to Start Construction,Yes,General
Medchal,Shamirpet,Jaggamguda,SIVA SAI TECHNICAL INDUSTRIES,Zinc Smelter,Engineering,0.86,8,21/07/2021,30/08/2021,Yet to Start Construction,Yes,General
Nizamabad,Dharpalle,Dammannapet,M/S VSK POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.11,2,21/08/2021,30/08/2021,Yet to Start Construction,Yes,SC
Rangareddy,Kondurg,Kondurg (E),Swastik Steel and Tubes LLP,Rolling mill (oil or coal fired) and cold rolling mill,Engineering,4.85,25,26/07/2021,30/08/2021,Yet to Start Construction,Yes,General
Gadwal,Gadwal,Anantapur,Jagadamba Agro Tech,Parboiled Rice Mills,Food Processing,1.01,20,20/04/2021,30/08/2021,Yet to Start Construction,Yes,OBC
Medchal,Shamirpet,Devaryamjal,Bakewell Industries Pvt Ltd,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),Food Processing,1.2365,4,05/08/2021,30/08/2021,Yet to Start Construction,Yes,General
Khammam,Thirumalayapalem,Tippareddigudem,SRI RAJA RAJESHWARI CONSTRUCTIONS INDIA PVT LTD,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.315,8,26/08/2021,30/08/2021,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Khazipur,SRI MANIKANTA ROCKS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.24,15,30/08/2021,30/08/2021,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Baddipalli,SRI LAXMI VENKATESHWARA STONES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.24,15,30/08/2021,30/08/2021,Yet to Start Construction,Yes,OBC
Sangareddy,Sangareddy,Indrakaran,UNIVERSAL TRADING COMPANY,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,3.0285,20,30/07/2019,30/08/2021,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,ARCNILE FURNITURES PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,10,17/08/2021,29/08/2021,Yet to Start Construction,Yes,General
Vikarabad,Vicarabad,Kamareddiguda,SRI VENKATA RAMANA RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.2,20,20/08/2021,29/08/2021,Yet to Start Construction,Yes,General
Jagtial,Jagtial,Mothe (Rural),KANAKADURGA FLOUR MILL,Flour mills (dry process),Food Processing,0.017,1,13/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Siddipet,Gajwel,Akkaram,THOTA NANDA KISHORE GODWN,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.25,8,27/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Peddapalli,Sultanabad,Kadambapur,VENNELA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.13,4,23/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Peddapalli,Sultanabad,Kanukula,MARUTHI FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.18,4,24/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Warangal - Rural,Geesugonda,Gorrekunta (Rural),M/S. MOHANA AGRO FOODS PRODUCTS,Spice grinding (>20 hp motor),Food Processing,0.2475,10,10/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Khammam,Penuballi,Thummalapalle,M/s. KPR MARUTHI RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,1.69,10,19/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Peddapalli,Kamanpur,Kamanpur,SRI ADHIVARUN BRICK INDUSTRIES,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,15,16/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Sircilla,Sircilla,Thangallapalle,M/s. LAVITHA BRICKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.18,8,25/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Nizamabad,Dharpalle,Dharpalle,M/s SRI BALAJI AGRO INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.963,10,12/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Karimnagar,Huzurabad,Huzurabad,M/s. RR POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.18,6,09/08/2021,28/08/2021,Yet to Start Construction,Yes,OBC
Nalgonda,Kondamallepally,Channaram,RAMAVATH BAJAN LAL POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.21,3,16/08/2021,28/08/2021,Yet to Start Construction,Yes,ST
Nalgonda,Kondamallepally,Channaram,RAMAVATH DANJILAL POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.21,3,16/08/2021,28/08/2021,Yet to Start Construction,Yes,ST
Nalgonda,Kattangoor,Munukuntla,DHARMA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.21,4,10/08/2021,28/08/2021,Yet to Start Construction,Yes,SC
Medchal,Shamirpet,Devaryamjal,M/S. SADA KESHAVA REDDY,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,0.25,7,18/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. SRI LALITHA PARIMESHWARI ENGG WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,4,19/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/s. S S Plastic Industry,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,8,16/08/2021,28/08/2021,Yet to Start Construction,Yes,SC
Siddipet,Mulug,Tuniki Bollaram,PRANAY THERAPEUTICS,Pharmaceuticals,Pharmaceuticals and Chemicals,7.23,50,19/07/2021,28/08/2021,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. ADITYA UPVC MANUFACTURERS,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,0.25,5,19/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Khazipalle,GOLDEN BULL INDIA MINING AND INFRASTRUCTURE P LTD,Stone crushers,Granite and Stone Crushing,0.25,20,23/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Medchal,Dundigal Gandimaisamma,Gagilapur,M/s. Prime Building Products,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,0.25,8,16/08/2021,28/08/2021,Yet to Start Construction,Yes,General
Nagarkurnool,Tadoor,Sirsawada,ANNAPURNA RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,1.5525,8,14/07/2021,28/08/2021,Yet to Start Construction,Yes,General
Rangareddy,Kothur,Kothur,ARUNACHALA LOGISTICS PRIVATE LIMITED,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0,20,16/07/2021,27/08/2021,Yet to Start Construction,Yes,General
Khammam,Khammam (Urban),Khanapuram (Haveli),SRI PRIME UPVC WINDOWS AND DOORS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.245,10,01/07/2021,27/08/2021,Yet to Start Construction,Yes,OBC
Nizamabad,Sirkonda,Nyavandi,M/s SRI LAXMI NARSIMHA,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.116,2,17/08/2021,27/08/2021,Yet to Start Construction,Yes,OBC
Nagarkurnool,Uppununthala,Uppununthala,PACS GODOWN,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.13,6,26/08/2021,27/08/2021,Yet to Start Construction,Yes,General
Nagarkurnool,Uppununthala,Upparapalle,PACS GODOWN,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.085,6,26/08/2021,27/08/2021,Yet to Start Construction,Yes,General
Bhupalpally,Bhupalpalle,Gorlavedu,M/s. Venkateshwara Agro Industries,Parboiled Rice Mills,Food Processing,5.0,12,09/08/2021,27/08/2021,Yet to Start Construction,Yes,OBC
Nagarkurnool,Uppununthala,Molgara,PACS GODOWN,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.085,6,26/08/2021,27/08/2021,Yet to Start Construction,Yes,General
Jagtial,Gollapalle,Ibrahim Nagar,M/S. KANAKADURGA POULTRY LAYER FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,4,16/08/2021,27/08/2021,Yet to Start Construction,Yes,General
Jagtial,Jagtial,Jagitial,M/S. RAVITEJA ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.05,2,18/08/2021,27/08/2021,Yet to Start Construction,Yes,OBC
Medchal,Uppal,Ramanthapur Bagayath,SIDHI VINAYAKA TIMBER DEPOT,Saw mills,Wood and Leather,0.07,10,16/08/2021,27/08/2021,Yet to Start Construction,Yes,General
Vikarabad,Vicarabad,Mailardevrampalle,SURESH YADAV FLOUR MILL,Flour mills (dry process),Food Processing,0.03,3,18/08/2021,27/08/2021,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Lakdaram,JAI SREE MATHA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.25,8,23/08/2021,26/08/2021,INITIAL STAGE,Yes,General
Warangal - Rural,Nekkonda,Gotlakonda,SRI SAI INDUSTRY,Rice mill (Rice hullers only),Food Processing,0.82,4,22/06/2021,26/08/2021,Yet to Start Construction,Yes,ST
